Type,BMS Address,Description,Units,Range - min,Range - max,R / W,Remarks
Coil,59,Activation Passive coolinf valve (D)12),-,0,1,R/W,0=Inactive |  1=Active
Coil,60,Activation DG 1 (DO6),-,0,1,R/W,0=Inactive |  1=Active
Coil,61,Activation Pool device (DO5),-,0,1,R/W,0=Inactive |  1=Active
Coil,62,Onbekend Pool,-,0,1,R/W,0=Inactive |  1=Active
Coil,63,Remote Control - Winter/Summer - Logic DI2,-,0,1,R/W,0=Inactive |  1=Active
Coil,64,DHW Operation Mode,-,0,1,R/W,0=Inactive |  1=Active
Coil,65,Activation Pool,-,0,1,R/W,0=Inactive |  1=Active
Coil,66,Pool Logic DI4,-,0,1,R/W,0=NC |  1=NO
Coil,69,Remote Control - EVU signal - Logic DI1,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,70,Remote Control - DHW - Logic DI3,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,73,Roomterminal DG 1 Logic,-,0,1,R/W,0=NC |  1=NO
Coil,75,Heatpump Trial period,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,76,DHW Legionella treatment,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,77,Pool heat production,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,83,Reset Alarm,-,0,1,R/W,0=NO |  1=YES
Coil,85,Activation Heating,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,86,Roomterminal SG 3 Logic,-,0,1,R/W,0=NC |  1=NO
Coil,88,Activation Defrost elect. Heater,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,91,Reset Energy Meters,-,0,1,R/W,0=NO |  1=YES
Coil,92,Daylight Savingtime,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,94,Set current minutes,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,95,Set current hours,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,96,Set current day,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,97,Set current month,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,98,Set current year,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,101,Heatpump Air Source (Hybrid sys val 1),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,102,Heatpump Ground Source (Hybrid sys val 2),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,103,Aerothermal - Defrosting,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,104,Heatpump Night time,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,105,Heating,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,106,User Activation DHW,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,107,Cooling,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,108,DHW Legionella treatment MO,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,109,DHW Legionella treatment TU,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,110,DHW Legionella treatment WE,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,111,DHW Legionella treatment TH,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,112,DHW Legionella treatment FR,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,113,DHW Legionella treatment SA,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,114,DHW Legionella treatment SU,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,118,Group DG 1 Heating Curve,-,0,1,R/W,0=Fixed temperature |  1=Heating curve
Coil,119,Group DG 1 Cooling Curve,-,0,1,R/W,0=Fixed temperature |  1=Cooling curve
Coil,120,Group SG 2 Cooling Curve,-,0,1,R/W,0=Fixed temperature |  1=Cooling curve
Coil,121,Floor drying function,-,0,1,R/W,0=off |  1=on
Coil,122,Activation Remote Control - DHW,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,123,Roomterminal SG 2 Logic,-,0,1,R/W,0=NC |  1=NO
Coil,124,Activation Remote Control - Winter/Summer,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,125,Group SG 2 Heating Curve,-,0,1,R/W,0=Fixed temperature |  1=Heating curve
Coil,126,Delete Alarm Logs,-,0,1,R/W,0=NO |  1=YES
Coil,127,Summer,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,128,Winter,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,129,Activation HTR,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,132,Roomterminal SG 4 Logic,-,0,1,R/W,0=NC |  1=NO
Coil,150,Heating group DG 1,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,151,Heating group SG 2,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,152,Heating group SG 3,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,153,Heating group SG 4,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,154,Group SG 2 valve,-,0,1,R/W,0=Direct 0-10V |  1=Reverse 10-0V
Coil,155,Group SG 3 valve,-,0,1,R/W,0=Direct 0-10V |  1=Reverse 10-0V
Coil,156,Group SG 4 valve,-,0,1,R/W,0=Direct 0-10V |  1=Reverse 10-0V
Coil,157,Roomterminal DT S/W on/off,-,0,1,R/W,0=DT S/W Off |  1=DT S/W On
Coil,158,Activation Simultaneous consum. heating+cooling,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,159,Activation Active Cooling,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,160,Activation Passive Colling,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,161,Passive Cooling Production Pump,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,162,Passive Cooling Brine Pump,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,163,Cooling group DG 1,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,164,Cooling group SG 2,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,165,Cooling group SG 3,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,166,Cooling group SG 4,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,170,DHW Recirculation pump,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,171,Internal Auxiliary systems DHW,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,172,Internal Auxiliary systems Heating,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,173,Internal Auxiliary systems Pool,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,174,DHW Electrical heater,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,175,External Auxiliary systems Heating ,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,176,External Auxiliary systems DHW,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,177,External Auxiliary systems Pool,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,178,External Auxiliary systems Production Pump ,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,179,Activation Remote Control - EVU Signal,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,180,Production Frost Protection,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,182,Heating Support 1 Emergency,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,183,Heating Support 1 Support,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,184,Heating Support 2 Emergency,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,185,Heating Support 2 Support,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,186,DHW Support 1 Emergency,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,187,DHW Support 1 Support,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,188,DHW Support 2 Emergency,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,189,DHW Support 2 Support,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,190,DHW recirculation,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,191,Pool Winter,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,192,Pool Summer,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,193,Pool Support 1 Emergency,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,194,Pool Support 1 Support,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,195,Pool Support 2 Emergency,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,196,Pool Support 2 Support,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,197,Activation Heatpump pumps (production & Source),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,198,Activation Status Auxiliary DHW (R17),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,199,Activation Status Auxiliary Buffer (R18),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,200,Activation Status Auxiliary Internal E Heater,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,201,Activation DHW recircalation pump (D04),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,202,Activation Heat/cool distribution valve (DO16),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,203,Activation SG 3 (DO8),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,204,Activation SG 4 (DO9),-,0,1,R/W,0=Disabled |  1=Enabled
Coil,205,Activation Boiler,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,206,Active Demand Direct heating,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,207,Active Demand Direct Cooling,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,208,Active Demand DHW,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,209,Active Demand Pool,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,210,Active Demand HTR,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,211,Actibe DHW recirculation,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,212,Alarm,-,0,1,R,0=- |  1=Inverter comms fault
Coil,213,Alarm,-,0,1,R,0=- |  1=High brine temperature
Coil,214,Alarm,-,0,1,R,0=- |  1=pCOe number:AI13 Analog input probe on channel 1 disconnected or broken
Coil,215,Alarm,-,0,1,R,0=- |  1=pCOe number:AI14 Analog input probe on channel 2 disconnected or broken
Coil,216,Alarm,-,0,1,R,0=- |  1=pCOe number:AI15 Analog input probe on channel 3 disconnected or broken
Coil,217,Alarm,-,0,1,R,0=- |  1=pCOe number:AI16 Analog input probe on channel 4 disconnected or broken
Coil,218,Alarm,-,0,1,R,0=- |  1=pCOe number: pCOe offline
Coil,219,Alarm,-,0,1,R,0=- |  1=th-T 1 Error (thermostat for DG1) **
Coil,220,Alarm,-,0,1,R,0=- |  1=th-T 1 offline (thermostat for DG1) **
Coil,221,Alarm,-,0,1,R,0=- |  1=th-T 2 Error (thermostat for SG2) **
Coil,222,Alarm,-,0,1,R,0=- |  1=th-T 2 offline (thermostat for SG2) **
Coil,223,Alarm,-,0,1,R,0=- |  1=th-T 3 Error (thermostat for SG3) **
Coil,224,Alarm,-,0,1,R,0=- |  1=th-T 3 offline (thermostat for SG3) **
Coil,225,Alarm,-,0,1,R,0=- |  1=th-T 4 Error (thermostat for SG4) **
Coil,226,Alarm,-,0,1,R,0=- |  1=th-T 4 offline (thermostat for SG4) **
Coil,227,Energy meter Cooling,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,228,Energy meter Heating,-,0,1,R/W,0=Disabled |  1=Enabled
Coil,231,Floor drying function phase 1,-,0,1,R/W,0=unfinished |  1=finished
Coil,232,Floor drying function phase 2,-,0,1,R/W,0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil,233,Floor drying function phase 3,-,0,1,R/W,0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil,234,Floor drying function phase 4,-,0,1,R/W,0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil,235,Floor drying function phase 5,-,0,1,R/W,0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil,236,Floor drying function phase 6,-,0,1,R/W,0=unfinished |  1=finished
Coil,237,Heatpump StandBy,-,0,1,R/W,0=Disabled |  1=Enabled
